"k","alpha","ntop","lambda","nu","z_cutpoint","mean_cindex_dichot","se_cindex_dichot","mean_abs_logrank_z","se_abs_logrank_z"
2,0.15,NA,0.349,0.056,0.8,0.564879572931003,0.0224215240954418,1.32053283942245,0.44888446076295
2,0.15,NA,0.349,0.056,1,0.562961966357973,0.00833933958644115,1.68027300519895,0.33647208352085
2,0.15,NA,0.349,0.056,1.2,0.547976850713685,0.0115690035471234,1.57243107929528,0.435654925875858
2,0.15,NA,0.349,0.056,1.4,0.545519471710674,0.0103949051735406,2.04616588473026,0.660562150525352
2,0.15,NA,0.349,0.056,1.6,0.544301931403353,0.00583409056957024,1.99726426664246,0.354855949876693
2,0.15,NA,0.349,0.056,1.8,0.531084788149715,0.0106265371890746,1.89800622392202,0.713519870245364
2,0.15,NA,0.349,0.056,2,0.533388227953155,0.0118844001838307,2.01030092738403,0.6743377049738
2,0.2,270,0.349,0.056,-2,0.517821799418419,0.0232922589370186,0.55664035836128,0.283170409504875
2,0.2,270,0.349,0.056,-1.8,0.508579645089087,0.0138676635918845,0.74600731711216,0.375591353158056
2,0.2,270,0.349,0.056,-1.6,0.504896382204203,0.014326113787812,1.01547689389458,0.398795426338159
2,0.2,270,0.349,0.056,-1.4,0.502241514947565,0.0157062114910583,1.06868452922791,0.436927023684965
2,0.2,270,0.349,0.056,-1.2,0.517362194828348,0.0170741446797189,0.849867604879443,0.293125898301092
2,0.2,270,0.349,0.056,-1,0.538872070531656,0.0178250439925583,0.714260704133384,0.150395559576838
2,0.2,270,0.349,0.056,-0.8,0.554325045946204,0.019086003162533,0.847056766467015,0.384305203965232
2,0.2,270,0.349,0.056,-0.6,0.571838689616827,0.0194783296318697,1.09760975470575,0.325112920834396
2,0.2,270,0.349,0.056,-0.4,0.577262735936718,0.0200833424029595,1.06625898248167,0.281503797774911
2,0.2,270,0.349,0.056,-0.2,0.591679858188544,0.0292945192605558,1.20108154838601,0.360838242381863
2,0.2,270,0.349,0.056,0,0.586400105798814,0.0253379635754479,1.26790772675171,0.260939113557888
2,0.2,270,0.349,0.056,0.2,0.594613065922527,0.0220669468049132,1.39075830720372,0.185710869773911
2,0.2,270,0.349,0.056,0.4,0.587052576974139,0.0217924044356305,1.39959034861216,0.363398124964545
2,0.2,270,0.349,0.056,0.6,0.578096655905431,0.0326294909546881,1.62777050219593,0.501970086945784
2,0.2,270,0.349,0.056,0.8,0.556353346486411,0.0211777968720422,1.12286092200577,0.261966919606214
2,0.2,270,0.349,0.056,1,0.53997667288416,0.0179399865922048,1.05641032669137,0.0857353900797123
2,0.2,270,0.349,0.056,1.2,0.540381983400834,0.0185102442049313,1.54251155346903,0.357668763259055
2,0.2,270,0.349,0.056,1.4,0.520786783536765,0.018033418794415,1.55757768163389,0.30328881626969
2,0.2,270,0.349,0.056,1.6,0.519181647608419,0.011487305396599,1.27243093253143,0.307709771693262
2,0.2,270,0.349,0.056,1.8,0.506541525494221,0.00685080009822744,0.909531692674394,0.332678550254433
2,0.2,270,0.349,0.056,2,0.513341469907611,0.00526239440012434,1.36915630557998,0.640524198212596
2,0.2,NA,0.349,0.056,-2,NA,NA,NA,NA
2,0.2,NA,0.349,0.056,-1.8,0.51662276095423,0.00563724854871349,0.824497493034239,0.128675610245293
2,0.2,NA,0.349,0.056,-1.6,0.517052783529509,0.0196056040013491,0.883643360660944,0.180745951044872
2,0.2,NA,0.349,0.056,-1.4,0.521659277092126,0.0132415107527813,0.680077091109978,0.211345366545319
2,0.2,NA,0.349,0.056,-1.2,0.521927438437756,0.0198467166281954,0.881663404910394,0.295555008233225
2,0.2,NA,0.349,0.056,-1,0.526352612735589,0.0202723336397855,0.580680448700719,0.302214858430352
2,0.2,NA,0.349,0.056,-0.8,0.538824498035465,0.0178215573673909,0.693453849585276,0.314186557255546
2,0.2,NA,0.349,0.056,-0.6,0.550804781739955,0.00815410125478611,0.89430115549769,0.222127566673994
2,0.2,NA,0.349,0.056,-0.4,0.57691460219045,0.0126730398005718,1.46144055466658,0.312004528758556
2,0.2,NA,0.349,0.056,-0.2,0.562251182787889,0.0164402822646275,1.07420274058677,0.389732860817674
2,0.2,NA,0.349,0.056,0,0.569558407570951,0.0143642685292924,1.15244849985039,0.291290823925841
2,0.2,NA,0.349,0.056,0.2,0.589064950797076,0.0258434425536859,1.78880706994934,0.584558511100002
