"k","alpha","ntop","lambda","nu","mean_cindex","se_cindex","optimal_z_cutpoint","mean_cindex_dichot","se_cindex_dichot","mean_abs_logrank_z","se_abs_logrank_z"
6,0.65,NA,0.3,0.05,0.658807467497147,0.0221183331820583,1.8,0.528346565668841,0.00228021495794006,3.54076814544291,0.25759855742937
7,0.65,NA,0.3,0.05,0.631056301069351,0.0167255086737065,2,0.530626780626781,NA,3.79836670287228,NA
8,0.65,NA,0.3,0.05,0.660904097394447,0.0144554085564695,2,0.528346565668841,0.00228021495794006,3.54076814544291,0.25759855742937
9,0.65,NA,0.3,0.05,0.622677049359978,0.0134253612705485,1.4,0.533055156304754,0.00887328012353605,2.98733161528484,1.21033930426814
10,0.65,NA,0.3,0.05,0.631822591152902,0.0181557824934342,1.6,0.519632880116707,0.00734157044209351,2.46617525515545,1.1032533003255
11,0.65,NA,0.3,0.05,0.629634319448721,0.0227541875837996,1.4,0.525215326915875,0.0113181253692101,2.29513762000562,0.787752049132627
12,0.65,NA,0.3,0.05,0.638703449500507,0.0211051107756545,0.8,0.588228455487348,0.0212029198388669,2.55926796781396,0.753084749427501
2,0.7,NA,0.3,0.05,0.656571327467117,0.00779745928841779,1.4,0.566056377580029,0.00820619590284469,2.62142462522547,0.338755267048831
3,0.7,NA,0.3,0.05,0.662747561924122,0.0131133293624652,2,0.528346565668841,0.00228021495794006,3.54076814544291,0.25759855742937
4,0.7,NA,0.3,0.05,0.656285336441754,0.0201068833751323,2,0.528346565668841,0.00228021495794006,3.54076814544291,0.25759855742937
5,0.7,NA,0.3,0.05,0.652606160035208,0.0198886919228196,2,0.528346565668841,0.00228021495794006,3.54076814544291,0.25759855742937
6,0.7,NA,0.3,0.05,0.647524820082819,0.0105153278123608,2,0.528346565668841,0.00228021495794006,3.54076814544291,0.25759855742937
7,0.7,NA,0.3,0.05,0.649128257471441,0.0143275283804017,2,0.528346565668841,0.00228021495794006,3.54076814544291,0.25759855742937
8,0.7,NA,0.3,0.05,0.64945159796331,0.0100610391367978,1.4,0.553087954233662,0.00718158297874174,3.27707072602668,1.06956584199702
9,0.7,NA,0.3,0.05,0.644586337249162,0.0129915861599895,1.4,0.539534375964338,0.0101170745112401,3.29463021256125,1.10425262413402
10,0.7,NA,0.3,0.05,0.650789096159624,0.00820878719399682,2,0.528179888663715,0.00132699207816349,3.63809669211164,0.177740967683911
11,0.7,NA,0.3,0.05,0.640771373680497,0.0204041763367176,1.4,0.540428995961542,0.0088508683059087,3.09899634960698,1.14040864679449
12,0.7,NA,0.3,0.05,0.634781702567136,0.0181019813224935,2,0.530626780626781,NA,3.79836670287228,NA
2,0.75,NA,0.3,0.05,0.665270749074678,0.009912489853768,1,0.597120766255098,0.00777531597812472,2.97207036723,0.385381302357037
3,0.75,NA,0.3,0.05,0.657651331410529,0.0129545427054052,1.6,0.546384345804317,0.00762331410747618,2.79256826455611,0.419435855169416
4,0.75,NA,0.3,0.05,0.654081454224756,0.0120571987925254,2,0.528346565668841,0.00228021495794006,3.54076814544291,0.25759855742937
