"method","factor","signature_raw","signature","r_RB","p_perm","q_BH","in_main_figure"
"DeSurv","D2 proCAF","Moffitt_Classical","Moffitt: Classical",-0.421974639009016,0.000649967501624919,0.00206460265222033,TRUE
"DeSurv","D2 proCAF","Moffitt_Activated","Moffitt: Activated",0.222678999657417,0.0615969201539923,0.109415581852486,TRUE
"DeSurv","D2 proCAF","Moffitt_Normal","Moffitt: Normal",0.0967562299874705,0.585520723963802,0.661466926653667,TRUE
"DeSurv","D2 proCAF","Moffitt_Immune","Moffitt: Immune",0.276946564885496,0.293685315734213,0.384927355573969,TRUE
"DeSurv","D2 proCAF","Collisson_Classical","Collisson: Classical",-0.557681538174351,4.99975001249937e-05,0.000182423311266869,TRUE
"DeSurv","D2 proCAF","Collisson_Exocrine","Collisson: Exocrine",0.18260541152985,0.170441477926104,0.247415048602409,FALSE
"DeSurv","D2 proCAF","Collisson_QM","Collisson: QM",0.150578821927136,0.374181290935453,0.461319399783436,FALSE
"DeSurv","D2 proCAF","Bailey_Squamous","Bailey: Squamous",-0.0299460551647891,0.786810659467027,0.849755512224389,TRUE
"DeSurv","D2 proCAF","Bailey_Immunogenic","Bailey: Immunogenic",-0.029820795221206,0.816509174541273,0.871373427376062,FALSE
"DeSurv","D2 proCAF","Bailey_PancreaticProgenitor","Bailey: Pancreatic Progenitor",-0.00502146859762753,0.982400879956002,0.983300834958252,FALSE
"DeSurv","D2 proCAF","Bailey_ADEX","Bailey: ADEX",0.350987821758644,0.000149992500374981,0.000506224688765562,FALSE
"DeSurv","D2 proCAF","Chan-Seng-Yue_Basal-like A","Chan-Seng-Yue: Basal-like A",-0.0537493923189111,0.591570421478926,0.665516724163792,FALSE
"DeSurv","D2 proCAF","Chan-Seng-Yue_Basal-like B","Chan-Seng-Yue: Basal-like B",-0.0751066647050169,0.499575021248938,0.581401964384539,FALSE
"DeSurv","D2 proCAF","Chan-Seng-Yue_Classical A","Chan-Seng-Yue: Classical A",-0.175018487599966,0.0138493075346233,0.0314227986079688,FALSE
"DeSurv","D2 proCAF","Chan-Seng-Yue_Classical B","Chan-Seng-Yue: Classical B",-0.0807366617311883,0.435428228588571,0.527200097394233,FALSE
"DeSurv","D2 proCAF","Maurer_ECM","Maurer: ECM",0.198983140085419,0.000199990000499975,0.000666633334999917,TRUE
"DeSurv","D2 proCAF","Maurer_Immune","Maurer: Immune",0.410750705889209,4.99975001249937e-05,0.000182423311266869,FALSE
"DeSurv","D2 proCAF","Puleo_Pure Classical","Puleo: Pure Classical",-0.42319530664768,4.99975001249937e-05,0.000182423311266869,FALSE
"DeSurv","D2 proCAF","Puleo_Immune Classical","Puleo: Immune Classical",0.363219561895059,0.095695215239238,0.151097708272481,FALSE
"DeSurv","D2 proCAF","Puleo_Desmoplastic","Puleo: Desmoplastic",0.370854027861902,4.99975001249937e-05,0.000182423311266869,FALSE
"DeSurv","D2 proCAF","Puleo_Stroma Activated","Puleo: Stroma Activated",-0.0617291666666666,0.450777461126944,0.540932953352332,FALSE
"DeSurv","D2 proCAF","Puleo_Pure Basal-like","Puleo Basal-like",-0.349217266899607,4.99975001249937e-05,0.000182423311266869,FALSE
"DeSurv","D2 proCAF","Puleo_tumor_Basal-like","Puleo: Basal-like",0.011458066405535,0.833208339583021,0.885693904281164,FALSE
"DeSurv","D2 proCAF","Puleo_tumor_Classical","Puleo: Immune Classical",-0.279642376872783,4.99975001249937e-05,0.000182423311266869,FALSE
"DeSurv","D2 proCAF","Elyada_iCAF","Elyada: iCAF",0.0822005141388176,0.48087595620219,0.566971651417429,FALSE
"DeSurv","D2 proCAF","Elyada_myCAF","Elyada: myCAF",-0.109156010230179,0.467226638668067,0.553294703685868,FALSE
"DeSurv","D2 proCAF","SCISSORS_apCAF","SCISSORS: apCAF",0.0124618514750763,0.967201639918004,0.978069074074386,FALSE
"DeSurv","D2 proCAF","SCISSORS_restCAF","SCISSORS: restCAF",0.0968344326978103,0.496225188740563,0.581401964384539,TRUE
"DeSurv","D2 proCAF","SCISSORS_proCAF","SCISSORS: proCAF",0.684237461617196,4.99975001249937e-05,0.000182423311266869,TRUE
"DeSurv","D2 proCAF","SCISSORS_Perivascular","SCISSORS: Perivascular",-0.128142493638677,0.630318484075796,0.700353871195329,FALSE
"DeSurv","D2 proCAF","SCISSORS_panCAF","SCISSORS: panCAF",0.268807168191152,0.0295985200739963,0.0587617677939632,FALSE
"DeSurv","D2 proCAF","SCISSORS_Basal-like","SCISSORS: Basal-like",-0.149751627269613,0.205089745512724,0.283417301216157,FALSE
"DeSurv","D2 proCAF","SCISSORS_Classical","SCISSORS: Classical",-0.45851222699272,0.000149992500374981,0.000506224688765562,FALSE
"DeSurv","D2 proCAF","deCAF_proCAF","deCAF: proCAF",0.713123092573754,0.00954952252387381,0.0224206180995298,TRUE
"DeSurv","D2 proCAF","deCAF_restCAF","deCAF: restCAF",0.479357798165138,0.015649217539123,0.034919741616225,TRUE
"DeSurv","D3 Basal-like","PurIST_BasalLike","PurIST: Basal-like",0.593770467942653,0.00414979251037448,0.0113176159373849,TRUE
"DeSurv","D3 Basal-like","PurIST_Classical","PurIST: Classical",-0.0290519877675841,0.889305534723264,0.923509593751082,TRUE
"DeSurv","D3 Basal-like","DECODER_BasalTumor","DECODER: Basal-like tumor",0.453913221143457,4.99975001249937e-05,0.000182423311266869,FALSE
