"factor1","factor2","factor3"
"HCLS1","CDC42BPA","ARRDC2"
"SH3PXD2B","SLC6A6","OAS1"
"PCSK2","RGS1","ADRA2A"
"HMGCS2","KIAA1324L","NQO1"
"FILIP1L","CPA3","LRG1"
"ETNK1","CHL1","SERPINH1"
"TNNI2","SLC7A11","COL18A1"
"TOX3","GFPT2","CERCAM"
"FRZB","RAI14","CA9"
"HABP2","LMAN1","CDHR2"
"GDA","MECOM","ESRP1"
"NCOR2","FPR1","CRYZ"
"DNAH2","EDEM3","TAGLN2"
"DOK4","RASSF6","HNF1B"
"HOXB9","IQGAP2","BMP4"
"KIAA1324","MIAT","MT1E"
"TRIM2","PRICKLE1","ANGPTL4"
"FGFBP1","CHST15","CFB"
"IRX3","GEM","GDF15"
"TINAGL1","CHRDL1","PADI1"
"SFRP4","DSC2","TMSB10"
"APLNR","RAB31","B2M"
"AGRN","SLC38A1","CAV2"
"SLC25A25","CNN3","CTSH"
"PODN","FLT1","PABPC1"
"ITIH2","TMEM200A","KRT8"
"FLJ23867","SLC2A3","TAP1"
